loc,c,d,m
MAGUINDANAO,277,6,2
MAGUINDANAO,280,4,3
MAGUINDANAO,206,1,4
MAGUINDANAO,303,3,5
MAGUINDANAO,549,7,6
MAGUINDANAO,872,4,7
MAGUINDANAO,542,4,8
MAGUINDANAO,344,60,9
MAGUINDANAO,236,61,10
MAGUINDANAO,204,4,11
MAGUINDANAO,209,3,12
MAKATI CITY,346,1,1
MAKATI CITY,262,0,2
MAKATI CITY,230,2,3
MAKATI CITY,128,0,4
MAKATI CITY,127,0,5
MAKATI CITY,138,1,6
MAKATI CITY,270,2,7
MAKATI CITY,455,0,8
MAKATI CITY,701,49,9
MAKATI CITY,489,39,10
MAKATI CITY,361,8,11
MAKATI CITY,288,3,12
MALABON CITY,418,0,1
MALABON CITY,307,2,2
MALABON CITY,226,2,3
MALABON CITY,90,0,4
MALABON CITY,88,1,5
MALABON CITY,114,0,6
MALABON CITY,282,0,7
MALABON CITY,588,6,8
MALABON CITY,1340,77,9
MALABON CITY,1141,78,10
MALABON CITY,766,14,11
MALABON CITY,531,2,12
MANDALUYONG CITY,332,0,1
MANDALUYONG CITY,264,0,2
MANDALUYONG CITY,157,1,3
MANDALUYONG CITY,78,0,4
MANDALUYONG CITY,55,0,5
MANDALUYONG CITY,91,0,6
MANDALUYONG CITY,175,0,7
MANDALUYONG CITY,260,0,8
MANDALUYONG CITY,364,61,9
MANDALUYONG CITY,341,74,10
MANDALUYONG CITY,213,4,11
MANDALUYONG CITY,161,0,12
MANDAUE CITY,678,3,1
MANDAUE CITY,798,2,2
MANDAUE CITY,338,2,3
MANDAUE CITY,131,2,4
MANDAUE CITY,77,1,5
MANDAUE CITY,120,1,6
MANDAUE CITY,311,3,7
MANDAUE CITY,530,2,8
MANDAUE CITY,557,29,9
MANDAUE CITY,657,50,10
MANDAUE CITY,776,7,11
MANDAUE CITY,713,2,12
MANILA CITY,1174,5,1
MANILA CITY,991,3,2
MANILA CITY,591,2,3
MANILA CITY,424,3,4
MANILA CITY,280,0,5
MANILA CITY,336,2,6
MANILA CITY,847,2,7
MANILA CITY,1403,4,8
MANILA CITY,2206,220,9
MANILA CITY,1956,308,10
MANILA CITY,1539,8,11
MANILA CITY,1301,1,12
MARIKINA CITY,346,0,1
MARIKINA CITY,339,7,2
MARIKINA CITY,157,0,3
MARIKINA CITY,92,0,4
MARIKINA CITY,51,0,5
MARIKINA CITY,80,0,6
MARIKINA CITY,221,2,7
MARIKINA CITY,456,1,8
MARIKINA CITY,602,51,9
MARIKINA CITY,418,54,10
MARIKINA CITY,377,9,11
MARIKINA CITY,334,3,12
MARINDUQUE,113,0,1
MARINDUQUE,151,0,2
MARINDUQUE,149,1,3
MARINDUQUE,75,0,4
MARINDUQUE,45,0,5
MARINDUQUE,88,0,6
MARINDUQUE,222,0,7
MARINDUQUE,297,1,8
MARINDUQUE,276,0,9
MARINDUQUE,112,1,10
MARINDUQUE,62,1,11
MARINDUQUE,106,0,12
MASBATE,131,0,1
MASBATE,135,0,2
MASBATE,130,2,3
MASBATE,79,0,4
MASBATE,60,0,5
MASBATE,70,0,6
MASBATE,178,3,7
MASBATE,281,3,8
MASBATE,321,5,9
MASBATE,247,2,10
MASBATE,159,0,11
MASBATE,152,0,12
MISAMIS OCCIDENTAL,745,1,1
MISAMIS OCCIDENTAL,789,2,2
MISAMIS OCCIDENTAL,778,6,3
MISAMIS OCCIDENTAL,632,8,4
MISAMIS OCCIDENTAL,571,3,5
MISAMIS OCCIDENTAL,876,5,6
MISAMIS OCCIDENTAL,1331,6,7
MISAMIS OCCIDENTAL,1191,14,8
MISAMIS OCCIDENTAL,1023,30,9
MISAMIS OCCIDENTAL,722,34,10
MISAMIS OCCIDENTAL,659,2,11
MISAMIS OCCIDENTAL,765,5,12
MISAMIS ORIENTAL,1118,4,1
MISAMIS ORIENTAL,1043,4,2
MISAMIS ORIENTAL,982,9,3
MISAMIS ORIENTAL,603,3,4
MISAMIS ORIENTAL,479,3,5
MISAMIS ORIENTAL,643,4,6
MISAMIS ORIENTAL,1334,8,7
MISAMIS ORIENTAL,1959,9,8
MISAMIS ORIENTAL,1898,48,9
MISAMIS ORIENTAL,1324,74,10
MISAMIS ORIENTAL,1088,0,11
MISAMIS ORIENTAL,1197,2,12
MOUNTAIN PROVINCE,86,0,1
MOUNTAIN PROVINCE,103,1,2
MOUNTAIN PROVINCE,33,0,3
MOUNTAIN PROVINCE,25,0,4
MOUNTAIN PROVINCE,42,0,5
MOUNTAIN PROVINCE,95,0,6
MOUNTAIN PROVINCE,279,0,7
MOUNTAIN PROVINCE,458,1,8
MOUNTAIN PROVINCE,294,46,9
MOUNTAIN PROVINCE,183,21,10
MOUNTAIN PROVINCE,140,1,11
MOUNTAIN PROVINCE,76,0,12
MUNTINLUPA CITY,265,0,1
MUNTINLUPA CITY,189,0,2
MUNTINLUPA CITY,130,0,3
MUNTINLUPA CITY,50,0,4
MUNTINLUPA CITY,35,0,5
MUNTINLUPA CITY,42,0,6
MUNTINLUPA CITY,176,2,7
MUNTINLUPA CITY,397,2,8
MUNTINLUPA CITY,585,17,9
MUNTINLUPA CITY,476,33,10
MUNTINLUPA CITY,372,9,11
MUNTINLUPA CITY,269,0,12
NAGA CITY,229,1,1
NAGA CITY,188,0,2
NAGA CITY,142,0,3
NAGA CITY,87,0,4
NAGA CITY,48,0,5
NAGA CITY,99,0,6
NAGA CITY,199,1,7
NAGA CITY,319,2,8
NAGA CITY,386,3,9
NAGA CITY,273,2,10
NAGA CITY,177,2,11
NAGA CITY,164,1,12
NAVOTAS CITY,184,0,1
NAVOTAS CITY,139,0,2
NAVOTAS CITY,113,0,3
NAVOTAS CITY,42,0,4
NAVOTAS CITY,41,0,5
NAVOTAS CITY,33,0,6
NAVOTAS CITY,72,1,7
NAVOTAS CITY,147,0,8
NAVOTAS CITY,229,12,9
NAVOTAS CITY,245,10,10
NAVOTAS CITY,196,0,11
NAVOTAS CITY,193,1,12
NEGROS OCCIDENTAL,1791,9,1
NEGROS OCCIDENTAL,1620,7,2
NEGROS OCCIDENTAL,1412,16,3
NEGROS OCCIDENTAL,886,9,4
NEGROS OCCIDENTAL,775,8,5
NEGROS OCCIDENTAL,1737,19,6
NEGROS OCCIDENTAL,4640,33,7
NEGROS OCCIDENTAL,5750,30,8
NEGROS OCCIDENTAL,4770,305,9
NEGROS OCCIDENTAL,2899,322,10
NEGROS OCCIDENTAL,2211,10,11
NEGROS OCCIDENTAL,1832,10,12
NORTH COTABATO,1215,3,1
NORTH COTABATO,1309,4,2
NORTH COTABATO,1286,5,3
NORTH COTABATO,1010,4,4
NORTH COTABATO,1218,2,5
NORTH COTABATO,2120,11,6
NORTH COTABATO,2886,13,7
NORTH COTABATO,2367,7,8
NORTH COTABATO,1224,227,9
NORTH COTABATO,860,253,10
NORTH COTABATO,710,9,11
NORTH COTABATO,797,2,12
NORTHERN SAMAR,368,2,1
NORTHERN SAMAR,348,0,2
NORTHERN SAMAR,196,0,3
NORTHERN SAMAR,83,0,4
NORTHERN SAMAR,117,0,5
NORTHERN SAMAR,155,1,6
NORTHERN SAMAR,341,0,7
NORTHERN SAMAR,747,3,8
NORTHERN SAMAR,922,58,9
NORTHERN SAMAR,791,75,10
NORTHERN SAMAR,688,5,11
NORTHERN SAMAR,622,6,12
NUEVA ECIJA,2492,6,1
NUEVA ECIJA,1523,2,2
NUEVA ECIJA,627,2,3
NUEVA ECIJA,302,0,4
NUEVA ECIJA,271,1,5
NUEVA ECIJA,499,0,6
NUEVA ECIJA,1961,17,7
NUEVA ECIJA,4026,24,8
NUEVA ECIJA,4079,17,9
NUEVA ECIJA,2765,4,10
NUEVA ECIJA,2477,7,11
NUEVA ECIJA,2486,10,12
NUEVA VISCAYA,483,0,1
NUEVA VISCAYA,480,2,2
NUEVA VISCAYA,265,1,3
NUEVA VISCAYA,141,0,4
NUEVA VISCAYA,191,0,5
NUEVA VISCAYA,479,3,6
NUEVA VISCAYA,1002,0,7
NUEVA VISCAYA,1418,1,8
NUEVA VISCAYA,1700,4,9
NUEVA VISCAYA,1455,1,10
NUEVA VISCAYA,1127,3,11
NUEVA VISCAYA,753,0,12
OCCIDENTAL MINDORO,340,0,1
OCCIDENTAL MINDORO,391,1,2
OCCIDENTAL MINDORO,287,1,3
OCCIDENTAL MINDORO,89,1,4
OCCIDENTAL MINDORO,108,2,5
OCCIDENTAL MINDORO,189,1,6
OCCIDENTAL MINDORO,926,3,7
OCCIDENTAL MINDORO,874,3,8
OCCIDENTAL MINDORO,858,4,9
OCCIDENTAL MINDORO,363,6,10
OCCIDENTAL MINDORO,362,2,11
OCCIDENTAL MINDORO,351,0,12
OLONGAPO CITY,188,0,1
OLONGAPO CITY,125,0,2
OLONGAPO CITY,66,0,3
OLONGAPO CITY,60,0,4
OLONGAPO CITY,28,0,5
OLONGAPO CITY,28,0,6
OLONGAPO CITY,102,0,7
OLONGAPO CITY,222,0,8
OLONGAPO CITY,325,4,9
OLONGAPO CITY,224,1,10
OLONGAPO CITY,142,0,11
OLONGAPO CITY,142,0,12
ORIENTAL MINDORO,474,3,1
ORIENTAL MINDORO,724,2,2
ORIENTAL MINDORO,685,4,3
ORIENTAL MINDORO,315,3,4
ORIENTAL MINDORO,311,3,5
ORIENTAL MINDORO,629,0,6
ORIENTAL MINDORO,1466,2,7
ORIENTAL MINDORO,1316,5,8
ORIENTAL MINDORO,1015,5,9
ORIENTAL MINDORO,523,1,10
ORIENTAL MINDORO,394,1,11
ORIENTAL MINDORO,533,2,12
ORMOC CITY,173,2,1
ORMOC CITY,173,1,2
ORMOC CITY,187,3,3
ORMOC CITY,137,1,4
ORMOC CITY,115,1,5
ORMOC CITY,150,1,6
ORMOC CITY,289,2,7
ORMOC CITY,488,4,8
ORMOC CITY,424,19,9
ORMOC CITY,179,31,10
ORMOC CITY,159,1,11
ORMOC CITY,113,1,12
PALAWAN,280,2,1
PALAWAN,488,1,2
PALAWAN,518,0,3
PALAWAN,264,3,4
PALAWAN,293,0,5
PALAWAN,599,2,6
PALAWAN,1522,3,7
PALAWAN,2002,8,8
PALAWAN,1454,5,9
PALAWAN,781,6,10
PALAWAN,552,13,11
PALAWAN,243,0,12
PAMPANGA,3126,4,1
PAMPANGA,2345,15,2
PAMPANGA,1223,4,3
PAMPANGA,518,1,4
PAMPANGA,342,0,5
PAMPANGA,501,1,6
PAMPANGA,1673,6,7
PAMPANGA,3220,8,8
PAMPANGA,4334,7,9
PAMPANGA,3621,6,10
PAMPANGA,2965,10,11
PAMPANGA,3399,11,12
PANGASINAN,1715,5,1
PANGASINAN,1245,6,2
PANGASINAN,768,6,3
PANGASINAN,435,5,4
PANGASINAN,467,0,5
PANGASINAN,1070,7,6
PANGASINAN,4222,15,7
PANGASINAN,5806,14,8
PANGASINAN,6010,8,9
PANGASINAN,3768,7,10
PANGASINAN,3175,5,11
PANGASINAN,2629,9,12
PARANAQUE CITY,730,4,1
PARANAQUE CITY,634,1,2
PARANAQUE CITY,362,0,3
PARANAQUE CITY,169,1,4
PARANAQUE CITY,72,0,5
PARANAQUE CITY,125,0,6
PARANAQUE CITY,461,4,7
PARANAQUE CITY,906,2,8
PARANAQUE CITY,1688,91,9
PARANAQUE CITY,1427,126,10
PARANAQUE CITY,1008,14,11
PARANAQUE CITY,944,11,12
PASAY CITY,232,4,1
PASAY CITY,210,0,2
PASAY CITY,127,1,3
PASAY CITY,41,0,4
PASAY CITY,42,0,5
PASAY CITY,52,0,6
PASAY CITY,131,1,7
PASAY CITY,262,0,8
PASAY CITY,485,41,9
PASAY CITY,517,30,10
PASAY CITY,312,6,11
PASAY CITY,286,0,12
PASIG CITY,726,1,1
PASIG CITY,566,0,2
PASIG CITY,275,1,3
PASIG CITY,125,0,4
PASIG CITY,76,0,5
PASIG CITY,95,0,6
PASIG CITY,340,2,7
PASIG CITY,685,3,8
PASIG CITY,1307,100,9
PASIG CITY,1241,199,10
PASIG CITY,1132,11,11
PASIG CITY,1120,5,12
PATEROS,66,1,1
PATEROS,90,0,2
PATEROS,136,0,3
PATEROS,15,0,4
PATEROS,9,1,5
PATEROS,92,0,6
PATEROS,33,0,7
PATEROS,36,0,8
PATEROS,110,11,9
PATEROS,147,15,10
PATEROS,133,1,11
PATEROS,59,0,12
PUERTO PRINCESA CITY,192,0,1
PUERTO PRINCESA CITY,218,2,2
PUERTO PRINCESA CITY,179,1,3
PUERTO PRINCESA CITY,82,0,4
PUERTO PRINCESA CITY,92,1,5
PUERTO PRINCESA CITY,492,0,6
PUERTO PRINCESA CITY,413,1,7
PUERTO PRINCESA CITY,835,5,8
PUERTO PRINCESA CITY,1011,4,9
PUERTO PRINCESA CITY,492,0,10
PUERTO PRINCESA CITY,346,1,11
PUERTO PRINCESA CITY,237,1,12
QUEZON,1154,5,1
QUEZON,1198,1,2
QUEZON,699,0,3
QUEZON,374,1,4
QUEZON,354,1,5
QUEZON,923,1,6
QUEZON,1729,3,7
QUEZON,2865,5,8
QUEZON,3579,12,9
QUEZON,2481,7,10
QUEZON,1619,4,11
QUEZON,1236,1,12
QUEZON CITY,2555,21,1
QUEZON CITY,2349,11,2
QUEZON CITY,1452,5,3
QUEZON CITY,874,8,4
QUEZON CITY,692,6,5
QUEZON CITY,1158,12,6
QUEZON CITY,3804,31,7
QUEZON CITY,6371,53,8
QUEZON CITY,6639,466,9
QUEZON CITY,4215,531,10
QUEZON CITY,2997,51,11
QUEZON CITY,2174,13,12
QUIRINO,459,2,1
QUIRINO,334,0,2
QUIRINO,164,0,3
QUIRINO,95,1,4
QUIRINO,107,0,5
QUIRINO,192,0,6
QUIRINO,315,1,7
QUIRINO,662,1,8
QUIRINO,1046,0,9
QUIRINO,816,4,10
QUIRINO,590,1,11
QUIRINO,503,1,12
RIZAL,2141,17,1
RIZAL,1977,11,2
RIZAL,1618,18,3
RIZAL,764,6,4
RIZAL,538,3,5
RIZAL,810,4,6
RIZAL,2507,22,7
RIZAL,4427,29,8
RIZAL,5315,39,9
RIZAL,2952,29,10
RIZAL,2271,19,11
RIZAL,2366,19,12
ROMBLON,54,1,1
ROMBLON,96,0,2
ROMBLON,79,0,3
ROMBLON,64,0,4
ROMBLON,45,0,5
ROMBLON,106,0,6
ROMBLON,324,2,7
ROMBLON,528,6,8
ROMBLON,412,3,9
ROMBLON,149,1,10
ROMBLON,177,0,11
ROMBLON,49,0,12
SAMAR,597,0,1
SAMAR,630,2,2
SAMAR,446,1,3
SAMAR,262,0,4
SAMAR,329,1,5
SAMAR,486,1,6
SAMAR,1123,3,7
SAMAR,2802,4,8
SAMAR,2839,15,9
SAMAR,1269,13,10
SAMAR,849,3,11
SAMAR,807,3,12
SAN JUAN CITY,94,0,1
SAN JUAN CITY,57,0,2
SAN JUAN CITY,60,0,3
SAN JUAN CITY,25,0,4
SAN JUAN CITY,15,0,5
SAN JUAN CITY,26,0,6
SAN JUAN CITY,121,0,7
SAN JUAN CITY,246,0,8
SAN JUAN CITY,290,33,9
SAN JUAN CITY,224,28,10
SAN JUAN CITY,180,1,11
SAN JUAN CITY,99,0,12
SANTIAGO CITY,107,3,1
SANTIAGO CITY,82,0,2
SANTIAGO CITY,81,0,3
SANTIAGO CITY,24,0,4
SANTIAGO CITY,33,0,5
SANTIAGO CITY,52,0,6
SANTIAGO CITY,107,1,7
SANTIAGO CITY,234,4,8
SANTIAGO CITY,283,3,9
SANTIAGO CITY,176,3,10
SANTIAGO CITY,125,0,11
SANTIAGO CITY,91,1,12
SARANGANI,641,5,1
SARANGANI,661,2,2
SARANGANI,676,4,3
SARANGANI,403,0,4
SARANGANI,429,0,5
SARANGANI,491,2,6
SARANGANI,685,3,7
SARANGANI,771,3,8
SARANGANI,614,149,9
SARANGANI,469,173,10
SARANGANI,473,4,11
SARANGANI,469,4,12
SISQUIJOR,157,0,1
SISQUIJOR,125,0,2
SISQUIJOR,101,0,3
SISQUIJOR,71,0,4
SISQUIJOR,52,1,5
SISQUIJOR,48,0,6
SISQUIJOR,164,2,7
SISQUIJOR,285,1,8
SISQUIJOR,245,12,9
SISQUIJOR,192,16,10
SISQUIJOR,206,0,11
SISQUIJOR,194,2,12
SORSOGON,180,0,1
SORSOGON,151,3,2
SORSOGON,159,2,3
SORSOGON,102,1,4
SORSOGON,92,1,5
SORSOGON,159,2,6
SORSOGON,411,3,7
SORSOGON,650,2,8
SORSOGON,730,3,9
SORSOGON,341,0,10
SORSOGON,267,3,11
SORSOGON,273,3,12
SOUTH COTABATO,1321,9,1
SOUTH COTABATO,1203,5,2
SOUTH COTABATO,1333,6,3
SOUTH COTABATO,1156,9,4
SOUTH COTABATO,1109,6,5
SOUTH COTABATO,1746,10,6
SOUTH COTABATO,3097,12,7
SOUTH COTABATO,2971,4,8
SOUTH COTABATO,1676,356,9
SOUTH COTABATO,1137,415,10
SOUTH COTABATO,1071,13,11
SOUTH COTABATO,1294,10,12
SOUTHERN LEYTE,223,1,1
SOUTHERN LEYTE,262,2,2
SOUTHERN LEYTE,302,1,3
SOUTHERN LEYTE,138,1,4
SOUTHERN LEYTE,114,2,5
SOUTHERN LEYTE,134,2,6
SOUTHERN LEYTE,264,2,7
SOUTHERN LEYTE,321,1,8
SOUTHERN LEYTE,435,12,9
SOUTHERN LEYTE,250,22,10
SOUTHERN LEYTE,247,4,11
SOUTHERN LEYTE,186,1,12
SULTAN KUDARAT,393,1,1
SULTAN KUDARAT,463,1,2
SULTAN KUDARAT,449,4,3
SULTAN KUDARAT,285,0,4
SULTAN KUDARAT,400,3,5
SULTAN KUDARAT,942,6,6
SULTAN KUDARAT,1196,3,7
SULTAN KUDARAT,761,4,8
SULTAN KUDARAT,461,51,9
SULTAN KUDARAT,258,55,10
SULTAN KUDARAT,177,2,11
SULTAN KUDARAT,160,1,12
SULU,70,1,1
SULU,54,0,2
SULU,44,1,3
SULU,38,3,4
SULU,18,0,5
SULU,46,4,6
SULU,55,1,7
SULU,64,3,8
SULU,70,11,9
SULU,58,8,10
SULU,67,0,11
SULU,58,1,12
SURIGAO CITY,400,1,1
SURIGAO CITY,374,1,2
SURIGAO CITY,254,1,3
SURIGAO CITY,121,0,4
SURIGAO CITY,116,0,5
SURIGAO CITY,164,0,6
SURIGAO CITY,238,2,7
SURIGAO CITY,321,3,8
SURIGAO CITY,309,48,9
SURIGAO CITY,258,69,10
SURIGAO CITY,261,2,11
SURIGAO CITY,341,0,12
SURIGAO DEL NORTE,519,1,1
SURIGAO DEL NORTE,544,3,2
SURIGAO DEL NORTE,293,0,3
SURIGAO DEL NORTE,181,1,4
SURIGAO DEL NORTE,193,1,5
SURIGAO DEL NORTE,238,1,6
SURIGAO DEL NORTE,331,0,7
SURIGAO DEL NORTE,396,3,8
SURIGAO DEL NORTE,368,41,9
SURIGAO DEL NORTE,343,94,10
SURIGAO DEL NORTE,434,3,11
SURIGAO DEL NORTE,663,2,12
SURIGAO DEL SUR,951,0,1
SURIGAO DEL SUR,796,1,2
SURIGAO DEL SUR,550,1,3
SURIGAO DEL SUR,307,1,4
SURIGAO DEL SUR,374,0,5
SURIGAO DEL SUR,415,0,6
SURIGAO DEL SUR,633,3,7
SURIGAO DEL SUR,616,2,8
SURIGAO DEL SUR,586,64,9
SURIGAO DEL SUR,545,107,10
SURIGAO DEL SUR,664,0,11
SURIGAO DEL SUR,872,2,12
TACLOBAN,345,3,1
TACLOBAN,284,0,2
TACLOBAN,213,1,3
TACLOBAN,129,1,4
TACLOBAN,86,0,5
TACLOBAN,132,0,6
TACLOBAN,608,5,7
TACLOBAN,1313,2,8
TACLOBAN,590,14,9
TACLOBAN,316,32,10
TACLOBAN,143,1,11
TACLOBAN,254,1,12
TAGUIG CITY,453,0,1
TAGUIG CITY,422,2,2
TAGUIG CITY,212,1,3
TAGUIG CITY,81,1,4
TAGUIG CITY,55,0,5
TAGUIG CITY,86,1,6
TAGUIG CITY,247,2,7
TAGUIG CITY,536,3,8
TAGUIG CITY,1027,73,9
TAGUIG CITY,908,83,10
TAGUIG CITY,809,14,11
TAGUIG CITY,735,10,12
TANDAG CITY,176,2,1
TANDAG CITY,193,0,2
TANDAG CITY,352,0,3
TANDAG CITY,78,2,4
TANDAG CITY,54,0,5
TANDAG CITY,68,0,6
TANDAG CITY,114,0,7
TANDAG CITY,116,0,8
TANDAG CITY,127,31,9
TANDAG CITY,109,44,10
TANDAG CITY,65,0,11
TANDAG CITY,112,0,12
TARLAC,1968,5,1
TARLAC,1672,3,2
TARLAC,943,1,3
TARLAC,402,0,4
TARLAC,448,1,5
TARLAC,1028,3,6
TARLAC,2970,10,7
TARLAC,4235,8,8
TARLAC,3454,2,9
TARLAC,2483,8,10
TARLAC,1845,3,11
TARLAC,1528,1,12
TAWI-TAWI,36,1,1
TAWI-TAWI,62,0,2
TAWI-TAWI,49,1,3
TAWI-TAWI,46,0,4
TAWI-TAWI,28,0,5
TAWI-TAWI,49,0,6
TAWI-TAWI,38,0,7
TAWI-TAWI,36,0,8
TAWI-TAWI,43,1,9
TAWI-TAWI,18,2,10
TAWI-TAWI,24,0,11
TAWI-TAWI,31,0,12
VALENZUELA CITY,387,0,1
VALENZUELA CITY,360,1,2
VALENZUELA CITY,224,1,3
VALENZUELA CITY,136,2,4
VALENZUELA CITY,142,0,5
VALENZUELA CITY,209,0,6
VALENZUELA CITY,554,2,7
VALENZUELA CITY,766,1,8
VALENZUELA CITY,925,70,9
VALENZUELA CITY,571,90,10
VALENZUELA CITY,453,21,11
VALENZUELA CITY,402,2,12
ZAMBALES,327,0,1
ZAMBALES,288,2,2
ZAMBALES,231,1,3
ZAMBALES,117,1,4
ZAMBALES,102,1,5
ZAMBALES,219,1,6
ZAMBALES,1244,5,7
ZAMBALES,1781,2,8
ZAMBALES,827,2,9
ZAMBALES,552,2,10
ZAMBALES,559,0,11
ZAMBALES,219,0,12
ZAMBOANGA CITY,1019,5,1
ZAMBOANGA CITY,963,5,2
ZAMBOANGA CITY,830,8,3
ZAMBOANGA CITY,575,2,4
ZAMBOANGA CITY,856,4,5
ZAMBOANGA CITY,1655,8,6
ZAMBOANGA CITY,5404,6,7
ZAMBOANGA CITY,2050,10,8
ZAMBOANGA CITY,1801,37,9
ZAMBOANGA CITY,1057,70,10
ZAMBOANGA CITY,893,8,11
ZAMBOANGA CITY,906,6,12
ZAMBOANGA DEL NORTE,872,7,1
ZAMBOANGA DEL NORTE,730,3,2
ZAMBOANGA DEL NORTE,533,1,3
ZAMBOANGA DEL NORTE,324,1,4
ZAMBOANGA DEL NORTE,327,1,5
ZAMBOANGA DEL NORTE,520,4,6
ZAMBOANGA DEL NORTE,1087,8,7
ZAMBOANGA DEL NORTE,1759,12,8
ZAMBOANGA DEL NORTE,1245,33,9
ZAMBOANGA DEL NORTE,1039,45,10
ZAMBOANGA DEL NORTE,1011,8,11
ZAMBOANGA DEL NORTE,843,5,12
ZAMBOANGA DEL SUR,401,4,1
ZAMBOANGA DEL SUR,527,3,2
ZAMBOANGA DEL SUR,491,6,3
ZAMBOANGA DEL SUR,411,3,4
ZAMBOANGA DEL SUR,694,7,5
ZAMBOANGA DEL SUR,1109,4,6
ZAMBOANGA DEL SUR,1507,11,7
ZAMBOANGA DEL SUR,1526,10,8
ZAMBOANGA DEL SUR,827,30,9
ZAMBOANGA DEL SUR,428,45,10
ZAMBOANGA DEL SUR,284,2,11
ZAMBOANGA DEL SUR,267,1,12
ZAMBOANGA SIBUGAY,287,2,1
ZAMBOANGA SIBUGAY,363,2,2
ZAMBOANGA SIBUGAY,492,1,3
ZAMBOANGA SIBUGAY,443,6,4
ZAMBOANGA SIBUGAY,776,3,5
ZAMBOANGA SIBUGAY,1340,5,6
ZAMBOANGA SIBUGAY,1483,7,7
ZAMBOANGA SIBUGAY,1077,2,8
ZAMBOANGA SIBUGAY,743,23,9
ZAMBOANGA SIBUGAY,537,19,10
ZAMBOANGA SIBUGAY,574,3,11
ZAMBOANGA SIBUGAY,295,1,12